Temperature_K,MW,LogP,TPSA,Solvent_water
298,147.00399999999996,2.9934000000000003,0.0,1.0
298,147.00399999999996,2.9934000000000003,0.0,1.0
298,392.5100000000002,3.9581000000000017,0.0,1.0
298,169.18299999999996,2.405500000000001,29.1,1.0
298,140.569,2.1525,17.07,1.0
298,161.397,2.2458,12.03,1.0
298,147.00399999999996,2.9934000000000003,0.0,1.0
298,756.2260000000002,8.11610000000001,120.72,1.0
298,422.5250000000002,2.4854000000000003,56.6,1.0
298,118.17899999999999,2.638020000000001,0.0,1.0
298,170.25199999999998,2.6775,37.3,1.0
298,376.4490000000002,0.5283999999999995,115.06000000000002,1.0
298,154.253,2.6714000000000016,20.23,1.0
298,218.202,3.195800000000001,17.07,1.0
298,342.391,3.497200000000002,61.830000000000005,1.0
298,210.31699999999995,3.320500000000002,26.3,1.0
298,149.19299999999998,1.5651,20.310000000000002,1.0
298,192.25800000000004,2.570800000000001,26.3,1.0
298,733.0020000000002,12.05423999999998,121.38000000000001,1.0
298,122.16699999999999,2.00904,20.23,1.0
298,206.28499999999997,2.761700000000001,21.759999999999998,1.0
298,260.255,3.7048000000000023,26.3,1.0
298,154.253,2.6714000000000016,20.23,1.0
298,214.64799999999997,2.5003199999999994,46.53,1.0
298,660.2820000000003,9.324300000000001,36.92,1.0
298,180.55599999999998,3.3588000000000005,0.0,1.0
298,228.33199999999994,2.780900000000001,38.83,1.0
298,218.362,3.0659000000000023,26.3,1.0
298,136.238,3.453000000000002,0.0,1.0
298,202.13799999999998,-9.132000000000001,126.38,1.0
298,150.47199999999998,-0.6901000000000002,40.129999999999995,1.0
298,181.23499999999999,1.0351,52.489999999999995,1.0
298,604.1740000000001,8.045700000000007,36.92,1.0
298,195.476,3.7322000000000015,0.0,1.0
298,228.4079999999999,3.6098000000000026,18.46,1.0
298,136.238,2.9987000000000013,0.0,1.0
298,270.3689999999999,3.377500000000002,52.60000000000001,1.0
298,386.6210000000001,4.635500000000003,95.58,1.0
298,258.40199999999993,3.831300000000003,46.53,1.0
298,385.6370000000001,4.601900000000001,101.36999999999999,1.0
298,372.76600000000013,10.406099999999995,0.0,1.0
298,72.151,2.1965000000000003,0.0,1.0
298,70.135,1.9725,0.0,1.0
298,226.31599999999995,2.725100000000001,43.370000000000005,1.0
298,33.03,-0.6657000000000002,46.25,1.0
298,226.31599999999995,2.725100000000001,43.370000000000005,1.0
298,192.21400000000003,1.7946,35.53,1.0
298,499.71700000000016,6.85320000000001,77.43,1.0
298,184.27899999999997,3.3778000000000024,37.3,1.0
298,570.3679999999999,2.2511,86.30000000000001,1.0
298,366.50500000000017,3.6590000000000025,32.78,1.0
298,340.4190000000001,3.567700000000002,43.519999999999996,1.0
298,220.35600000000002,4.541200000000005,20.23,1.0
298,158.24399999999994,3.7528000000000024,0.0,1.0
298,95.94,-0.0025,0.0,1.0
298,198.30599999999998,3.6697000000000024,26.3,1.0
298,136.238,3.4750000000000023,0.0,1.0
298,148.249,3.2925200000000014,0.0,1.0
298,298.427,1.9462199999999998,88.48,1.0
298,298.427,1.9462199999999998,88.48,1.0
298,128.17100000000002,1.6513,37.3,1.0
298,1136.3280000000002,-14.301299999999994,433.55999999999995,1.0
298,344.502,6.115200000000006,24.72,1.0
298,658.8910000000001,9.583999999999996,101.88,1.0
298,658.8910000000001,9.583999999999996,101.88,1.0
298,136.238,3.453000000000002,0.0,1.0
298,148.249,3.2925200000000014,0.0,1.0
298,426.3480000000001,2.200100000000001,71.1,1.0
298,252.364,2.635600000000001,25.36,1.0
298,152.237,2.2099,12.53,1.0
298,1026.2630000000001,-9.94980000000002,414.73999999999995,1.0
298,868.35,4.107200000000002,246.79999999999995,1.0
298,189.32399999999998,2.9815000000000014,20.310000000000002,1.0
298,256.342,1.6236,43.519999999999996,1.0
298,298.427,1.9462199999999998,88.48,1.0
298,502.30700000000024,-10.5546,288.75,1.0
298,215.16799999999998,4.328400000000002,30.21,1.0
298,117.15099999999997,2.1679000000000004,15.79,1.0
298,148.16099999999997,1.9868999999999999,26.3,1.0
298,192.25799999999998,2.7707000000000015,26.3,1.0
298,178.275,2.556020000000001,20.23,1.0
298,189.32399999999998,2.9815000000000014,20.310000000000002,1.0
298,196.29,3.242200000000002,26.3,1.0
298,196.29,3.242200000000002,26.3,1.0
298,385.6370000000001,4.601900000000001,101.36999999999999,1.0
298,166.264,2.3612,20.23,1.0
298,166.264,2.3612,20.23,1.0
298,33.03,-0.6657000000000002,46.25,1.0
298,140.22599999999997,2.401700000000001,17.07,1.0
298,186.29499999999996,3.0119000000000016,26.3,1.0
298,268.312,3.4616000000000016,35.53,1.0
298,346.5650000000002,6.270800000000006,16.130000000000003,1.0
298,488.67100000000033,1.4251999999999998,105.20000000000002,1.0
298,488.67100000000033,1.4251999999999998,105.20000000000002,1.0
298,340.4190000000001,3.567700000000002,43.519999999999996,1.0
298,488.67100000000033,1.4251999999999998,105.20000000000002,1.0
298,136.238,3.308900000000002,0.0,1.0
298,136.238,2.9987000000000013,0.0,1.0
298,136.238,2.9987000000000013,0.0,1.0
298,284.399,4.657380000000004,40.46,1.0
298,891.500999999999,18.769099999999984,78.9,1.0
298,386.6210000000001,4.635500000000003,95.58,1.0
298,385.6370000000001,4.601900000000001,101.36999999999999,1.0
298,298.427,1.9462199999999998,88.48,1.0
298,178.23099999999997,2.6823000000000006,37.3,1.0
298,186.29499999999996,3.0119000000000016,26.3,1.0
298,94.20400000000001,1.6274,0.0,1.0
298,186.29499999999996,3.0119000000000016,26.3,1.0
298,116.161,-3.2584,63.19,1.0
298,298.427,1.9462199999999998,88.48,1.0
298,121.18299999999998,1.9524199999999998,12.89,1.0
298,144.258,2.5852000000000017,20.23,1.0
298,228.332,2.3712000000000004,46.53,1.0
298,360.4500000000002,1.5575999999999999,94.83,1.0
298,622.5880000000003,-1.6177599999999943,172.59999999999997,1.0
298,389.835,-1.8357999999999999,256.5,1.0
298,206.241,2.1847000000000003,35.53,1.0
298,338.44400000000013,3.7177000000000024,46.150000000000006,1.0
298,34.033,0.5857,0.0,1.0
298,360.4500000000002,1.5575999999999999,94.83,1.0
298,298.427,1.9462199999999998,88.48,1.0
298,214.26399999999998,3.144400000000002,18.46,1.0
298,379.37500000000017,5.998200000000005,52.04,1.0
298,591.6210000000003,1.5511600000000008,158.48999999999998,1.0
298,144.214,2.2874,37.3,1.0
298,167.11999999999995,1.293,80.44,1.0
298,397.8900000000001,4.401700000000002,25.78,1.0
298,216.66399999999993,1.8312999999999997,49.83,1.0
298,210.27299999999994,2.6027000000000005,43.370000000000005,1.0
298,266.381,3.730800000000003,43.370000000000005,1.0
298,154.21199999999996,2.9384000000000015,0.0,1.0
298,320.81600000000014,4.0477000000000025,52.99,1.0
298,136.238,3.308900000000002,0.0,1.0
298,406.9060000000002,4.694800000000003,90.29,1.0
298,136.238,2.9987000000000013,0.0,1.0
298,136.238,2.9987000000000013,0.0,1.0
298,136.238,2.9987000000000013,0.0,1.0
298,136.238,2.9987000000000013,0.0,1.0
298,162.38099999999997,2.6728000000000005,9.23,1.0
298,114.04100000000001,2.0319000000000003,0.0,1.0
298,146.14499999999998,1.793,30.21,1.0
298,136.238,3.308900000000002,0.0,1.0
298,775.969,4.725610000000006,124.12,1.0
298,247.97400000000002,1.2939,0.0,1.0
298,758.7060000000004,-1.0801999999999898,229.18,1.0
298,196.29,2.7643000000000013,26.3,1.0
298,283.283,-3.2584,63.19,1.0
298,220.31199999999998,3.3510000000000018,26.3,1.0
298,147.00399999999996,2.9934000000000003,0.0,1.0
298,622.5480000000001,-4.739199999999995,197.31999999999996,1.0
298,147.00399999999996,2.9934000000000003,0.0,1.0
298,147.00399999999996,2.9934000000000003,0.0,1.0
298,176.25599999999997,1.1988999999999999,38.69,1.0
298,192.21400000000003,1.7946,35.53,1.0
298,147.00399999999996,2.9934000000000003,0.0,1.0
298,222.28799999999995,2.2430000000000003,58.86,1.0
